2026-07-27: cumulative 10112
2026-07-28: cumulative 29092
2026-07-29: cumulative 48370
2026-07-30: cumulative 66615
2026-07-31: cumulative 86217
RESUME from 2026-08-01, starting cumulative 86217
2026-08-01: day rows 14957, cumulative 101174
2026-08-02: day rows 21234, cumulative 122408
2026-08-03: day rows 12685, cumulative 135093
2026-08-05: day rows 4010, cumulative 139103
2026-08-06: day rows 4205, cumulative 143308
2026-08-07: day rows 7586, cumulative 150894
2026-08-08: day rows 1416, cumulative 152310
2026-08-09: day rows 2392, cumulative 154702
2026-08-10: day rows 1386, cumulative 156088
RESUME DONE cumulative: 156088
