case,window,n,med_r,iqr_r,ks_d,dt_med,bins,rows_total,verdict
42728,BASELINE 27Jul-03Aug,26340,0.0,21.3,--,+0.7,28/30,156089,reference (in-sample)
42728,06-Aug,1751,+1.2,18.4,0.062,+0.9,28/30,156089,no shift
42728,07-Aug,893,+8.1,22.4,0.277,+0.5,28/30,156089,shift
42728,07/08 10-11 event-hr,333,+22.0,5.9,0.563,+15.5,28/30,156089,precursor signature
42728,07/08 14-20 post,374,-0.5,12.2,0.176,-4.7,28/30,156089,reset
42728,08/08 15-17 pre-fail,968,-4.9,20.5,0.203,-21.8,28/30,156089,cold decoupling
37282,BASELINE 01-07 Dec,48810,0.0,17.8,--,+2.2,26/30,490188,reference (in-sample)
37282,08-Dec,0,na,na,nan,na,26/30,490188,idle (no matched rows)
37282,09-Dec,22783,+1.7,22.7,0.079,+2.5,26/30,490188,quiet
37282,10-Dec pre-fail,2080,+2.2,18.1,0.173,+0.5,26/30,490188,negative replication
37282_Nov,BASELINE 01-07 Nov,60270,0.0,37.4,--,+3.3,28/30,479909,reference (in-sample)
37282_Nov,08-Nov,22348,+1.6,43.7,0.053,+3.4,28/30,479909,quiet
37282_Nov,09-Nov,4457,-0.2,22.5,0.074,+2.4,28/30,479909,quiet
37282_Nov,10-Nov window-end,4893,+1.0,57.4,0.063,+6.5,28/30,479909,quiet
healthy_30385,BASELINE 01-07 Dec,105550,0.0,24.4,--,+0.0,29/30,584127,reference (in-sample)
healthy_30385,08-Dec,10284,0.0,22.0,0.034,+0.0,29/30,584127,quiet
healthy_30385,09-Dec,17400,-0.6,20.3,0.047,+0.0,29/30,584127,quiet
healthy_30385,10-Dec window-end,5612,-1.7,28.3,0.073,+0.0,29/30,584127,quiet
healthy_30380,BASELINE 01-07 Dec,105494,0.0,24.2,--,+6.5,30/30,528770,reference (in-sample)
healthy_30380,08-Dec,30504,+2.0,29.3,0.073,+6.5,30/30,528770,quiet
healthy_30380,09-Dec,8124,-0.5,12.5,0.150,+4.7,30/30,528770,quiet
healthy_30380,10-Dec window-end,0,na,na,nan,na,30/30,528770,idle (no matched rows)
30532,all windows,0,na,na,nan,na,0/30,6407,cadence-blocked (median gap 15s; method needs <=5s pairs)
