ts,server_now,telemetry_max_dt,telemetry_rows_24h,telemetry_rows_recent,fault_max_ft,fault_rows_24h,active_locos_24h,fault_json_rows_24h
2026-08-12T13:25:24,2026-08-12 13:25:29.100000,2026-08-12 23:22:09,5976041,571758,2026-08-12 02:18:27,7,,
2026-08-12T13:27:48,2026-08-12 13:27:52.253000,2026-08-12 23:22:09,5972036,567838,2026-08-12 02:18:27,7,,
2026-08-12T13:30:02,2026-08-12 13:30:04.183000,2026-08-12 23:22:09,5959420,560596,2026-08-12 02:18:27,7,,
2026-09-07T10:30:05,2026-09-07 10:30:19.817000,2026-09-05 06:00:22,0,0,2026-09-07 06:54:23,7,,
2026-09-07T10:31:18,2026-09-07 10:31:24.587000,2026-09-05 06:00:22,0,0,2026-09-07 06:54:23,7,,
2026-09-07T11:02:02,2026-09-07 11:02:16.603000,2026-09-05 06:00:22,0,0,2026-09-07 06:54:23,7,,
2026-09-07T11:07:01,2026-09-07 11:07:15.650000,2026-09-05 06:00:22,0,0,2026-09-07 06:54:23,7,,
2026-09-07T11:12:01,2026-09-07 11:12:15.530000,2026-09-05 06:00:22,0,0,2026-09-07 06:54:23,7,,
2026-09-07T11:17:01,2026-09-07 11:17:16.087000,2026-09-05 06:00:22,0,0,2026-09-07 06:54:23,7,,
2026-09-07T11:22:01,2026-09-07 11:22:15.660000,2026-09-05 06:00:22,0,0,2026-09-07 06:54:23,7,,
2026-09-09T10:08:52,2026-09-09 10:08:34.677000,2026-09-09 20:09:57,32407514,4265455,2026-09-09 03:36:50,32,,
2026-09-09T10:12:05,2026-09-09 10:12:15.847000,2026-09-09 20:13:19,32491924,4262632,2026-09-09 03:36:50,32,,
2026-09-09T10:17:05,2026-09-09 10:17:15.780000,2026-09-09 20:18:06,32617988,4262098,2026-09-09 03:36:50,32,,
2026-09-09T10:22:05,2026-09-09 10:22:15.777000,2026-09-09 20:23:22,32745600,4262847,2026-09-09 03:36:50,32,,
2026-09-09T10:27:05,2026-09-09 10:27:15.770000,2026-09-09 20:28:10,32872712,4262311,2026-09-09 03:36:50,32,,
2026-09-09T10:32:06,2026-09-09 10:32:15.770000,2026-09-09 20:33:24,33005244,4270410,2026-09-09 03:36:50,32,,
2026-09-09T10:37:05,2026-09-09 10:37:15.893000,2026-09-09 20:37:16,33133917,4270774,2026-09-09 03:36:50,32,,
2026-09-09T10:42:06,2026-09-09 10:42:15.907000,2026-09-09 20:40:10,33258981,4267582,2026-09-09 03:36:50,32,,
2026-09-09T10:47:06,2026-09-09 10:47:16.530000,2026-09-09 20:43:32,33390970,4271463,2026-09-09 03:36:50,32,,
2026-09-09T10:58:26,2026-09-09 10:58:36.693000,2026-09-09 20:56:33,33690490,4300352,2026-09-09 03:36:50,32,,
2026-09-09T11:02:05,2026-09-09 11:02:15.567000,2026-09-09 21:02:31,33762476,4309854,2026-09-09 03:36:50,32,,
2026-09-09T11:07:07,2026-09-09 11:07:17.497000,2026-09-09 21:08:10,33897069,4373315,2026-09-09 03:36:50,32,,
2026-09-09T11:12:19,2026-09-09 11:12:16.890000,2026-09-09 21:13:27,34032110,4383342,2026-09-09 03:36:50,32,,
2026-09-09T11:17:07,2026-09-09 11:17:15.600000,2026-09-09 21:17:47,34167890,4387475,2026-09-09 03:36:50,32,,
2026-09-09T11:22:05,2026-09-09 11:22:15.573000,2026-09-09 21:23:06,34300480,4390238,2026-09-09 03:36:50,32,,
2026-09-09T11:27:05,2026-09-09 11:27:15.593000,2026-09-09 21:28:24,34430618,4390686,2026-09-09 03:36:50,32,,
2026-09-09T11:32:05,2026-09-09 11:32:15.607000,2026-09-09 21:32:44,34560098,4390758,2026-09-09 03:36:50,32,,
2026-09-09T11:37:05,2026-09-09 11:37:15.623000,2026-09-09 21:38:32,34691450,4396312,2026-09-09 03:36:50,32,,
2026-09-09T11:42:05,2026-09-09 11:42:15.630000,2026-09-09 21:42:53,34824415,4398738,2026-09-09 03:36:50,32,,
2026-09-09T11:47:05,2026-09-09 11:47:15.647000,2026-09-09 21:48:11,34956712,4401451,2026-09-09 03:36:50,32,,
