day,rows
2026-08-08,5224952
2026-08-09,7955176
2026-08-10,5620435
2026-08-11,6356057
2026-08-12,6899331
2026-08-13,5599260
2026-08-14,9796070
2026-08-15,18309535
2026-08-16,20574660
2026-08-17,16166668
2026-08-18,18944042
2026-08-19,20360712
2026-08-20,19079047
2026-08-21,18978476
2026-08-22,16069421
2026-08-23,9490125
2026-08-24,10988985
2026-08-25,20040969
2026-08-26,27944935
2026-08-27,28985413
2026-08-28,30522215
2026-08-29,28623732
2026-08-30,31371890
2026-08-31,26819827
2026-09-01,14815754
2026-09-02,15
2026-09-03,62
2026-09-04,1
2026-09-05,66
